name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Peaceful & Charming Madison Valley Cottage,12938320,Capitol Hill,Stevens,47.625,-122.30026000000001,Entire home/apt,99,3,67,1.93,1,0
"Ballard's vintage, Moroccan-inspired studio",129153323,Ballard,Whittier Heights,47.67905,-122.36703999999999,Entire home/apt,97,1,196,5.64,1,0
UW Seattle Gorgeous Apartment,90531582,University District,University District,47.66438,-122.30458999999999,Entire home/apt,85,30,53,1.51,1,180
Full studio apartment. Queen bed. Kitchen. Desk.,19933143,Rainier Valley,Columbia City,47.5579,-122.28323999999999,Entire home/apt,100,30,12,0.33,1,0
El Nido Tranquilo--Serene aerie in the U District,29540236,University District,University District,47.6672,-122.311,Entire home/apt,84,2,58,1.72,1,351
Urban Studio guesthouse in Seattle,17162606,Beacon Hill,North Beacon Hill,47.57331,-122.30507,Entire home/apt,99,2,106,2.98,1,180
Spacious One Bedroom with Gourmet Kitchen,105567017,Northgate,Maple Leaf,47.69145,-122.3206,Entire home/apt,95,30,40,1.45,1,112
3br Ballard Craftsman Near Fremont,10997195,Ballard,West Woodland,47.66516,-122.36213000000001,Entire home/apt,325,30,11,0.33,1,0
Beautiful Seattle Home in Quiet Magnolia,95016161,Magnolia,Lawton Park,47.65537,-122.38793999999999,Entire home/apt,699,2,24,0.69,1,178
"Central Spot, 4  beds, Stocked Kitchen",14062900,Downtown,Yesler Terrace,47.605059999999995,-122.31905,Entire home/apt,350,2,48,1.39,2,81
Downtown Ballard Private Garden Cottage,3557909,Ballard,Adams,47.672340000000005,-122.38138000000001,Entire home/apt,110,2,90,3.84,2,134
"Charming Queen Anne Studio, Low Ceilings",39075448,Queen Anne,East Queen Anne,47.64083,-122.35525,Entire home/apt,113,2,120,3.36,1,281
Family luxury-steps to Columbia City & light rail!,20177429,Rainier Valley,Columbia City,47.55811,-122.28951,Entire home/apt,1079,2,26,0.75,1,306
The Cottage at 2221,5459252,Queen Anne,West Queen Anne,47.63845,-122.36068999999999,Entire home/apt,120,30,31,0.87,1,0
Roosevelt Studio Guesthouse,4820947,Other neighborhoods,Roosevelt,47.67805,-122.31403999999999,Entire home/apt,95,2,78,2.19,1,88
Good Vibes Modern 1BR w/ Epic view,7916599,Capitol Hill,Broadway,47.61545,-122.31687,Entire home/apt,0,30,6,0.17,1,279
"Fantastic downtown loft, close to everything!",1838818,Downtown,Pioneer Square,47.59989,-122.33131999999999,Entire home/apt,165,2,125,3.49,4,176
"Mt. Rainier View, Central 2 Bedrm, Stocked Kitchen",14062900,Central Area,Minor,47.60338,-122.31491000000001,Entire home/apt,207,2,114,3.32,2,0
Kristian Apartment  Brand New  2 BR +1 Bath,130068736,West Seattle,North Admiral,47.57506,-122.38888,Entire home/apt,100,2,135,4.83,2,215
Lovely master bedroom in Ravenna/Greenlake,15206632,Other neighborhoods,Ravenna,47.6744,-122.30893999999999,Private room,35,30,1,0.03,1,0
Rooftop and Patio access. Downtown,60945852,Downtown,First Hill,47.60492,-122.32783,Entire home/apt,140,30,0,,1,0
Green Lake 2BR Garden Apartment - Family Friendly,17269911,Other neighborhoods,Green Lake,47.674209999999995,-122.33313999999999,Entire home/apt,140,1,296,8.31,6,97
Green Lake Master Suite Apartment with Jetted Tub,17269911,Other neighborhoods,Green Lake,47.674209999999995,-122.33313999999999,Entire home/apt,75,1,284,7.96,6,56
Modern Family-Friendly Home with a Garden,38688274,Central Area,Mann,47.62166,-122.29857,Entire home/apt,254,2,79,2.29,2,261
Adorable home in Ravenna Park,8246601,Other neighborhoods,Ravenna,47.67765,-122.30208999999999,Entire home/apt,110,30,6,0.17,1,0
Modern Luxury Oasis near Capitol Hill and Downtown,8596840,Central Area,Madrona,47.6159,-122.29175,Entire home/apt,399,30,14,0.41,1,0
Beautiful Fremont Townhouse - 1 Bedroom,23041519,Other neighborhoods,Fremont,47.65307,-122.35425,Private room,125,30,15,0.42,1,89
Fabulous Bedroom Suite in Ballard,18930841,Ballard,Sunset Hill,47.67647,-122.39731,Private room,74,1,37,1.3,1,364
Greenlake Guest Suite w/ Vintage Soaker Tub,130475073,Other neighborhoods,Green Lake,47.68523,-122.32632,Entire home/apt,95,2,101,2.87,1,135
"Modern Studio, Quiet Retreat Next to Park & Lake",130677755,Other neighborhoods,Windermere,47.67403,-122.26353,Entire home/apt,105,1,140,3.95,1,172
"Quiet & Private, Modern Home on 200 Acre Park",44147516,Other neighborhoods,Broadview,47.71031,-122.36464,Entire home/apt,100,1,10,0.29,1,0
Modern Penthouse with Rooftop & Amazing Views,2134209,Capitol Hill,Broadway,47.61775,-122.32288,Entire home/apt,135,30,221,6.3,6,323
"Luxury living near UW, Down Town and Hospitals",130936311,Other neighborhoods,Wallingford,47.65992,-122.32428999999999,Entire home/apt,120,7,29,0.82,1,296
Urban Studios in the Heart of West Seattle,130945609,West Seattle,North Admiral,47.57251,-122.38571999999999,Entire home/apt,99,30,44,1.24,1,262
Private Condo In The Heart Of Seattle,89728543,Downtown,First Hill,47.613009999999996,-122.3284,Entire home/apt,150,30,16,0.45,1,0
Spacious Luxury Apartment - Laurelhurst,130967142,Other neighborhoods,Laurelhurst,47.65934,-122.28472,Entire home/apt,155,1,128,3.62,1,21
Charming & Chic Ravenna Retreat,43904891,Other neighborhoods,Roosevelt,47.68575,-122.30691999999999,Entire home/apt,105,1,149,4.43,1,0
Five Bedroom Craftsman with Backyard near Beach,16063650,West Seattle,Fairmount Park,47.55513,-122.38259,Entire home/apt,399,3,11,0.32,2,4
MODERN 2 Bedroom in Fremont,77191391,Other neighborhoods,Fremont,47.65285,-122.34711000000001,Entire home/apt,139,30,42,1.29,2,235
Alki Waterfront condo,39755506,West Seattle,Alki,47.57588,-122.41838999999999,Private room,249,30,6,0.17,1,365
Huge Home a Block from Green Lake,17269911,Other neighborhoods,Green Lake,47.674209999999995,-122.33313999999999,Entire home/apt,500,2,37,1.13,6,80
"Private, Spacious, Modern, One-Bedroom Suite",58181577,Magnolia,Southeast Magnolia,47.64528,-122.39708999999999,Entire home/apt,114,1,71,2.1,1,1
Cozy and Convenient Cottage Bedroom,33152477,Other neighborhoods,Phinney Ridge,47.68142,-122.34558,Private room,50,30,62,1.79,1,0
Private One Bed in North Seattle - Wallingford,347674,Other neighborhoods,Fremont,47.66102,-122.34586000000002,Entire home/apt,99,30,40,1.21,1,15
Townhouse,91859285,Other neighborhoods,Greenwood,47.70391,-122.34763999999998,Private room,90,30,9,0.26,1,0
SPACE NEEDLE DOWNTOWN MODERN TOP STORY PENTHOUSE,23165254,Downtown,Belltown,47.61387,-122.34844,Entire home/apt,599,1,43,1.28,18,350
Fremont haven in Seattle,57060936,Other neighborhoods,Fremont,47.6546,-122.35219,Private room,99,2,48,1.37,1,172
"View Room, Easy to airport & downtown",31036041,West Seattle,Gatewood,47.5466,-122.38235,Private room,37,30,78,2.2,4,123
MODERN DOWNTOWN TOP FLOOR PENTHOUSE WITH BAY VIEWS,23165254,Downtown,Belltown,47.61572,-122.34663,Entire home/apt,599,1,40,1.2,18,355
Modern home close to light rail,2166094,Rainier Valley,Brighton,47.534490000000005,-122.28006,Private room,85,2,50,1.51,1,151
Remodeled 1bd Apt Close to UW,32138006,Other neighborhoods,Bryant,47.67297,-122.28458,Entire home/apt,109,1,78,2.23,1,256
"Nice Condo in Downtown Seattle, Belltown",131674050,Downtown,Belltown,47.616859999999996,-122.34595,Entire home/apt,115,5,216,6.23,1,65
Comfortable perch overlooking Lake Union,3750633,Other neighborhoods,Wallingford,47.65551,-122.32602,Private room,103,30,21,0.61,1,364
"Sunny, private, huge room overlooking veg garden",31788701,Central Area,Atlantic,47.58945,-122.30645,Private room,60,30,26,0.74,1,0
Private room upstairs in cozy Seattle home,29517730,Central Area,Minor,47.61052,-122.3038,Private room,58,30,18,0.55,3,365
Minutes to bus line easy to downtown Seattle,73679032,Northgate,Pinehurst,47.71621,-122.31844,Private room,60,30,0,,1,0
Room with Wall bed & Beach access for 1 person,65538154,West Seattle,Arbor Heights,47.50209,-122.37891,Private room,50,1,213,6.1,2,143
Historic International District Studio,99012938,Downtown,International District,47.60025,-122.32602,Entire home/apt,85,30,89,2.56,2,94
Scenic Getaway near Carkeek Park,128989620,Other neighborhoods,Broadview,47.71776,-122.36648999999998,Entire home/apt,125,2,53,1.52,1,340
Comfy Apartment in the Heart of Wallingford,16831905,Other neighborhoods,Wallingford,47.65999,-122.33373999999999,Entire home/apt,170,1,163,4.6,1,30
West Seattle Little House,61877744,West Seattle,North Admiral,47.57495,-122.37361000000001,Entire home/apt,90,3,84,2.4,1,79
"Fremont - Walk to the ""Center Of The Universe""",44468800,Other neighborhoods,Fremont,47.65178,-122.34872,Entire home/apt,78,2,141,3.99,3,359
"Nearby North Seattle College, NW hospital and UW",4037804,Northgate,North College Park,47.70006,-122.3377,Private room,52,1,14,0.41,2,89
Extraordinary 2BR Condo by Pike Place Market!,4962900,Downtown,Central Business District,47.60687,-122.33758999999999,Entire home/apt,999,1,49,1.5,32,357
"Bright, Cozy House in Central Seattle",1249440,Central Area,Atlantic,47.599709999999995,-122.31093999999999,Entire home/apt,185,3,4,0.12,2,9
Beautiful house in Seattle's best neighborhood,679836,Ballard,Adams,47.67115,-122.38122,Entire home/apt,190,30,15,0.45,1,0
Modern town home on Sunset Hill in Ballard/Seattle,2309350,Ballard,Loyal Heights,47.6898,-122.39217,Entire home/apt,139,2,39,1.15,2,123
Stroll Through Westlake Park from a Downtown Home,31604886,Downtown,Central Business District,47.60953,-122.33631000000001,Entire home/apt,145,2,187,5.33,1,150
"Tech Intern in the ""Bunk Village"" (Female Only) 4L",12362661,Capitol Hill,Montlake,47.64244,-122.3022,Shared room,44,30,0,,1,0
Seward Park Garden Apartment,5685882,Seward Park,Seward Park,47.54437,-122.26375,Entire home/apt,186,2,20,0.58,1,170
Explore Seattle from a New Townhouse in Cap Hill,29003959,Central Area,Minor,47.60297,-122.31452,Entire home/apt,369,1,175,4.98,1,34
Great location - Private one bedroom apartment,3653501,Capitol Hill,Portage Bay,47.649440000000006,-122.32128,Entire home/apt,115,2,91,2.59,1,211
Capitol Hill 1BR Modern Apartment,94689355,Downtown,Central Business District,47.61476,-122.33193,Entire home/apt,200,30,12,0.35,2,0
"Quiet, Charming Craftsman",41096292,Delridge,Roxhill,47.529920000000004,-122.36893,Entire home/apt,140,30,7,0.2,1,0
Spacious Capitol Hill Arts District retreat,9008183,Capitol Hill,Stevens,47.616659999999996,-122.31028,Entire home/apt,120,30,43,1.23,1,0
"Relax in a Light, Airy, Modern Guesthouse",132702642,Magnolia,Lawton Park,47.65059,-122.40113999999998,Entire home/apt,165,2,73,2.09,2,3
Cozy & Private Bedroom in West Seattle,53978309,Delridge,North Delridge,47.56527,-122.37098999999999,Private room,89,1,111,3.24,3,8
"The home you wish you had, can  now be yours!!",55462923,Capitol Hill,Broadway,47.62338,-122.31383999999998,Entire home/apt,112,30,3,0.09,1,225
"Private, Quiet Ballard Haven-Dog Friendly!!!",133015453,Other neighborhoods,North Beach/Blue Ridge,47.69166,-122.39501000000001,Entire home/apt,150,3,77,2.2,1,34
Perfect Seattle summer studio,48948165,Downtown,First Hill,47.61403,-122.3245,Entire home/apt,105,30,8,0.23,1,0
Beautiful Comfortable Private Bedroom for Rent,133284367,Magnolia,Southeast Magnolia,47.64283,-122.38561999999999,Private room,60,30,49,1.41,2,364
Modern Townhouse Heart of Ballard Brewery District,1206507,Ballard,West Woodland,47.665,-122.36575,Private room,85,2,188,5.65,1,0
"Cozy room in a modern townhouse, Great Location",60120000,Other neighborhoods,Bitter Lake,47.72412,-122.35191999999999,Private room,65,2,28,0.8,2,141
"Seattle Hideaway Suite: Spacious, Private, & Comfy",4137246,Rainier Valley,Rainier Beach,47.51644,-122.2658,Entire home/apt,65,3,156,4.56,1,23
1921 Wallingford Three Bedroom Craftsman,120292865,Other neighborhoods,Wallingford,47.65,-122.33623999999999,Entire home/apt,175,3,9,0.26,1,17
Downtown Seattle Studio's 3 MC,50550045,Downtown,First Hill,47.60824,-122.32871000000002,Entire home/apt,230,2,8,0.25,59,177
Cozy Getaway or Extended Stay Near UW,5961811,Other neighborhoods,Ravenna,47.67727,-122.30341000000001,Entire home/apt,100,30,13,0.37,1,0
Serene Urban Oasis with a Private Garden and Jacuzzi,29664875,Other neighborhoods,View Ridge,47.67888,-122.27763,Entire home/apt,118,1,95,2.71,1,225
Thompson Residences- Premium One Bedroom,133615085,Downtown,Pike-Market,47.60965,-122.34093999999999,Private room,590,30,72,2.12,2,90
A Soft Place to Land in the Heart of Seattle,56754673,Capitol Hill,Stevens,47.62516,-122.29723999999999,Entire home/apt,104,3,96,2.77,1,75
Spacious & Pet-Friendly Retreat in West Seattle,42251951,Delridge,Highland Park,47.532579999999996,-122.35308,Entire home/apt,75,1,129,3.92,1,0
Historic U-District Studio,9768188,University District,University District,47.65865,-122.31803000000001,Entire home/apt,90,30,18,0.55,1,125
Seaview Escape,133810132,Ballard,Sunset Hill,47.67092,-122.40562,Entire home/apt,499,2,17,0.51,1,363
3 Bedroom Retro Apartment in North Beacon Hill,8284327,Beacon Hill,North Beacon Hill,47.57385,-122.30698999999998,Entire home/apt,97,30,28,0.87,5,294
Beautiful Custom-Built Home in Fremont,133846191,Other neighborhoods,Fremont,47.65806,-122.35008,Entire home/apt,350,3,113,3.25,1,0
"Center of Seattle,  with Great City Views!!!",20493911,Downtown,Belltown,47.61337,-122.34393,Entire home/apt,129,1,257,7.53,10,325
Alki Beach Bungalow: Private w/parking,133986909,West Seattle,Alki,47.575509999999994,-122.4147,Entire home/apt,92,2,249,7.43,1,0
Belltown Waterfront Suite 1BD 5,8534462,Downtown,Belltown,47.61182,-122.34915,Entire home/apt,219,30,3,0.09,312,0
Self-checkin to this 2BD suite good for longer stays,8534462,Downtown,Belltown,47.61333,-122.34823999999999,Entire home/apt,290,2,9,0.26,312,208
Sweet and Spacious backyard cottage,133990571,Lake City,Matthews Beach,47.69883,-122.28148,Entire home/apt,120,30,17,0.49,1,0
Fantastic ocean view! low price enjoy great view!,116699451,West Seattle,Fauntleroy,47.50516,-122.38453,Entire home/apt,299,30,83,2.39,1,0
Entire Luxury Family Home - Close to downtown!!,453540,Beacon Hill,North Beacon Hill,47.58455,-122.31088999999999,Entire home/apt,200,30,5,0.15,6,69
upscale downtown 1br huge balcony + views!,94689355,Downtown,First Hill,47.61246,-122.32888999999999,Entire home/apt,250,30,2,0.06,2,0
Master Suite in beautiful luxury urban town home,22331281,Queen Anne,Lower Queen Anne,47.6247,-122.36142,Private room,149,30,14,0.4,1,0
Fremont Pool House,131116079,Other neighborhoods,Fremont,47.66368,-122.35928999999999,Private room,50,30,0,,1,0
Cute private room Magnolia Seattle,69342526,Magnolia,Lawton Park,47.65083,-122.38396999999999,Private room,40,30,81,2.32,2,0
Greenlake Charmer- Entire Home,83432804,Northgate,North College Park,47.69088,-122.3329,Entire home/apt,115,30,28,1.41,1,0
Colorful 1908 Craftsman Madison Valley Seattle,6281788,Central Area,Mann,47.61953,-122.29692,Entire home/apt,100,4,48,1.38,1,2
Spacious Cape Cod Home in West Seattle,116763780,Delridge,Riverview,47.5564,-122.35478,Entire home/apt,208,3,92,2.67,1,335
Spacious Greenwood Mother-in-law,91214240,Other neighborhoods,Greenwood,47.70095,-122.34586000000002,Entire home/apt,89,1,87,2.58,1,89
Tranquil Studio in quiet old Seattle neighborhood,20866076,Other neighborhoods,Bryant,47.667229999999996,-122.28882,Private room,75,30,10,0.3,1,252
Quiet Room in The Central District,1346749,Capitol Hill,Stevens,47.63432,-122.31106000000001,Private room,150,30,1,0.03,1,0
The Woodland Park Studio,20130582,Other neighborhoods,Fremont,47.66381,-122.35335,Entire home/apt,81,1,200,5.85,2,172
Modern home in the heart of Seattle,96750394,Central Area,Minor,47.60322,-122.31398999999999,Private room,129,1,186,5.39,1,173
Walkable Georgetown Craftsman with Space for all,5325329,Other neighborhoods,Georgetown,47.54482,-122.3201,Entire home/apt,475,1,237,7.02,13,61
Garden Level View Apartment,134729791,West Seattle,Gatewood,47.54121,-122.38355,Entire home/apt,70,3,8,0.24,1,0
2 room space,48441443,Central Area,Minor,47.61224,-122.31356000000001,Private room,95,30,0,,7,365
Craftsman Green Lake Home,15732960,Other neighborhoods,Green Lake,47.68652,-122.32961,Entire home/apt,325,7,16,0.54,1,253
Entire 3BR house in Magnolia -Seattle,69342526,Magnolia,Lawton Park,47.651920000000004,-122.3844,Entire home/apt,0,30,12,0.37,2,0
Make a Home Amongst the Succulents,14343317,Beacon Hill,North Beacon Hill,47.583079999999995,-122.3154,Private room,60,30,0,,2,0
Home In Ballard/Phinney Family Neighborhood,135299109,Ballard,West Woodland,47.67171,-122.36523999999999,Entire home/apt,195,3,11,0.33,1,0
Top Floor Ballard - 85 Walk Score!,1212520,Ballard,Whittier Heights,47.683040000000005,-122.37643,Entire home/apt,90,2,69,2.02,4,292
Updated Intl District condo w/ balcony - near CenturyLink & downtown!,112448661,Central Area,Atlantic,47.59731,-122.31097,Entire home/apt,199,1,50,1.58,9,362
Beautiful Ballard Bungalow,6495905,Ballard,Loyal Heights,47.685179999999995,-122.38328,Entire home/apt,85,1,62,2.05,1,61
Charming brick house by transit and airport - Rm 1,135554033,Rainier Valley,Dunlap,47.52953,-122.27814,Private room,50,2,52,1.57,4,90
Houseboat on Seattle's downtown Lake Union,69414927,Cascade,Westlake,47.63548,-122.33978,Entire home/apt,250,30,42,1.92,1,0
Hardwood Clean Quiet Walk to UW (52,3074414,University District,University District,47.65854,-122.31676000000002,Entire home/apt,88,30,8,0.23,49,250
Share my home!  Capitol Hill 1Bed/Bath near UW,12621577,Capitol Hill,Stevens,47.62378,-122.30058999999999,Private room,74,3,60,1.77,3,179
Seattle Comfort,135690660,Beacon Hill,North Beacon Hill,47.57622,-122.30613000000001,Entire home/apt,90,3,63,1.85,1,21
My townhouse.,39162839,Ballard,Loyal Heights,47.6902,-122.38171000000001,Private room,40,30,0,,1,0
Private/clean guesthouse! Walk to Golden Gardens!,89436518,Other neighborhoods,North Beach/Blue Ridge,47.69185,-122.3925,Entire home/apt,115,2,80,2.34,1,161
1 BR in between downtown and Capitol Hill,25147083,Downtown,First Hill,47.61136,-122.33028999999999,Private room,125,30,90,2.62,1,179
West Seattle Garden Apartment,82687085,Delridge,Roxhill,47.53317,-122.36936000000001,Entire home/apt,85,2,66,1.94,1,7
Cozy Columbia City Studio near Light Rail,52542927,Rainier Valley,Columbia City,47.55385,-122.28769,Entire home/apt,85,2,77,2.42,1,0
1BR Daylight Apartment  - 2 Blocks to Green Lake,140421,Other neighborhoods,Green Lake,47.68313,-122.34313999999999,Entire home/apt,120,1,261,7.68,1,131
Perry  (Freddie Mercury Room) COHस्वागत हे svaagat he,85076667,Other neighborhoods,Fremont,47.661590000000004,-122.35343,Private room,69,30,49,1.48,5,212
"Beautiful, second story Ballard apartment",135899790,Ballard,Sunset Hill,47.677620000000005,-122.39551999999999,Entire home/apt,150,2,24,0.71,1,337
Private comfortable 2-bedroom basement apartment,135902914,Other neighborhoods,Phinney Ridge,47.66667,-122.35444,Entire home/apt,200,30,58,1.7,1,2
Nicki Minaj/Freddie Mercury room स्वागत हे svaagat he,85076667,Other neighborhoods,Fremont,47.66128,-122.35262,Private room,69,30,34,0.98,5,117
"2bed/1ba Ballard Unit, Cozy & Capacious, 950 sq ft",15171111,Ballard,Loyal Heights,47.6846,-122.38784,Entire home/apt,75,2,70,2.03,1,90
Explore Seattle from a Capitol Hill Home,25546430,Capitol Hill,Stevens,47.6201,-122.30769,Entire home/apt,160,4,86,2.52,1,89
Pvt. Entrance Bed & Bath in lovely bungalow basemt,27066609,Other neighborhoods,Roosevelt,47.679790000000004,-122.3195,Entire home/apt,95,2,8,0.37,3,87
Modern 2BR Townhome in Queen Anne!,41947998,Queen Anne,North Queen Anne,47.65106,-122.36638,Entire home/apt,189,30,23,1.07,1,89
Comfortable Wallingford Studio near UW,75924772,Other neighborhoods,Wallingford,47.66282,-122.32415,Private room,115,1,171,5.65,1,114
Immaculate 2 BR Under the Space Needle & Key Arena,27322459,Queen Anne,Lower Queen Anne,47.62294,-122.35678999999999,Entire home/apt,138,30,55,1.63,2,317
magnificent villa,14931206,Magnolia,Briarcliff,47.64458,-122.40935,Entire home/apt,800,30,1,0.05,1,65
"Ballard townhouse roofdeck,parking,aircon",18703508,Ballard,Adams,47.67235,-122.37738999999999,Entire home/apt,259,2,99,2.92,1,0
Gorgeous home Great view by Space Needle,135761101,Queen Anne,Lower Queen Anne,47.62748,-122.35466000000001,Entire home/apt,255,30,19,0.55,1,89
"Close to everything: 2 beds/1 bath, very private!",6171087,Central Area,Minor,47.60344,-122.30595,Private room,200,1,61,1.81,2,0
Private Bath in Modern Home #1 with one bed,12194562,Central Area,Atlantic,47.59583,-122.30821999999999,Private room,69,2,86,2.55,2,90
New Wallingford Guest House!,44113701,Other neighborhoods,Wallingford,47.65388,-122.33502,Entire home/apt,150,2,128,3.75,1,80
Thompson Residences- Water View Luxury Residence,133615085,Downtown,Pike-Market,47.6097,-122.33996,Entire home/apt,470,30,96,2.81,2,89
MODERN TOWNHOUSE IN SEATTLE W/ROOFTOP,135583295,Central Area,Atlantic,47.59537,-122.29887,Entire home/apt,148,1,26,0.76,1,0
"Seattle Daylight Basement, near UW/Children's",5167419,Lake City,Matthews Beach,47.69812,-122.27703000000001,Entire home/apt,75,5,99,3.27,1,69
New Capitol Hill Studio w/ free parking & AC,109567409,Downtown,First Hill,47.61217,-122.31873,Entire home/apt,116,1,275,8.26,1,151
Fremont-Colorful Mid-Century with Views,1771388,Other neighborhoods,Fremont,47.65485,-122.35688999999999,Entire home/apt,175,2,44,1.31,1,76
1BD/1BA Central District Duplex,7635363,Central Area,Leschi,47.59926,-122.29352,Entire home/apt,205,30,15,0.44,1,90
Loft Nouveau in the heart of Seattle,19021868,Downtown,Belltown,47.6182,-122.3466,Entire home/apt,185,30,64,1.88,2,0
West Seattle Beach House,120294050,West Seattle,Alki,47.566159999999996,-122.40725,Entire home/apt,299,3,167,5.06,1,211
Ballard Craftsman Home,17224304,Ballard,Loyal Heights,47.68052,-122.37700000000001,Entire home/apt,150,30,8,0.25,1,0
North Admiral Beaches,137414994,West Seattle,North Admiral,47.588809999999995,-122.38625,Private room,100,30,19,0.56,2,20
Entire up-floor Apartment at Seattle duplex,137416962,Other neighborhoods,Roosevelt,47.68535,-122.3134,Entire home/apt,144,1,195,5.7,2,0
Beautiful Bryant House in Park-Like Setting,137416756,Other neighborhoods,Bryant,47.667,-122.28655,Entire home/apt,195,2,77,2.29,1,12
"Comfy room near green lake, conveniently located",18973577,Northgate,North College Park,47.69068,-122.34223999999999,Private room,50,30,29,0.85,1,269
"Garden Studio at Carkeek, NW Seattle. Full bath",81683104,Other neighborhoods,Greenwood,47.70276,-122.36046,Private room,50,3,63,1.87,1,0
Family friendly craftsman home in Ballard,4447620,Ballard,West Woodland,47.671890000000005,-122.36182,Entire home/apt,119,30,16,0.75,1,0
Modern Family-Friendly House with a Chef's Kitchen,7219034,Other neighborhoods,Wallingford,47.66854,-122.33635,Entire home/apt,299,3,57,1.84,1,188
Special Rates for Heath Care - 2 Week Special Rate,74305,Downtown,Belltown,47.61457,-122.34818,Entire home/apt,64,2,83,2.51,51,146
Meet the Goats at a Characterful Farm-Chic Hideaway,116740214,Beacon Hill,Mid-Beacon Hill,47.54953,-122.30814,Entire home/apt,149,1,213,6.33,3,108
North Admiral Beaches - Upper,137414994,West Seattle,North Admiral,47.58902,-122.38613000000001,Private room,75,30,37,1.08,2,20
No Car Needed | Cozy N Beacon Apt by Light Rail,903177,Beacon Hill,North Beacon Hill,47.57745,-122.30781,Private room,65,1,52,1.54,1,219
Ballard private room & bath w/ self check-in,51160497,Ballard,Whittier Heights,47.67975,-122.37671999999999,Private room,75,1,69,2.19,2,0
Cozy Wallingford bedroom 1 mile to UW campus,22575565,Other neighborhoods,Wallingford,47.65893,-122.32607,Private room,10,3,29,0.88,3,18
Basement  bungalow w private entrnc,55046216,Other neighborhoods,Greenwood,47.68742,-122.35356999999999,Entire home/apt,99,1,268,7.84,1,357
"Middle of Capitol Hill, walk to downtown/ SLU",5133388,Capitol Hill,Broadway,47.62482,-122.32518,Private room,250,30,1,0.03,1,0
"Premier 1BD apartment in Seattle's Pioneer Square, fast wifi",8534462,Downtown,Pioneer Square,47.60089,-122.33606999999999,Entire home/apt,199,1,12,0.4,312,0
Urban Architectural Retreat with Rooftop Deck & Fireplace,28420265,Beacon Hill,North Beacon Hill,47.58761,-122.30991999999999,Entire home/apt,119,1,44,1.32,13,73
Retreat in NW Seattle,82725292,Other neighborhoods,Broadview,47.72061,-122.35671,Entire home/apt,85,1,13,0.44,1,166
Spacious Master Bedroom With Great View,36391005,Capitol Hill,Broadway,47.62617,-122.32269,Private room,150,30,9,0.27,1,0
Family Fun/Business Retreat Near Space Needle,52640557,Queen Anne,Lower Queen Anne,47.62592,-122.35166000000001,Entire home/apt,187,1,179,5.34,1,137
Minimalist Architecture Townhouse near Green Lake,138074587,Other neighborhoods,Green Lake,47.683370000000004,-122.32393,Entire home/apt,325,7,50,1.49,1,13
"Very clean, comfortable, chic condo in N. Seattle",138107809,Other neighborhoods,Bitter Lake,47.72432,-122.35293,Entire home/apt,78,30,28,0.83,1,309
Spacious No. Seattle (Maple Leaf) Mother in Law,135304150,Northgate,Maple Leaf,47.69343,-122.3138,Private room,125,1,15,0.46,1,364
"Quiet room, private bath in Capitol Hill craftsman",19409558,Capitol Hill,Montlake,47.63697,-122.31961000000001,Private room,64,1,165,4.94,1,8
Fabulous Private bedroom and bath in garden oasis,138214686,Central Area,Minor,47.61266,-122.31031999999999,Private room,75,30,27,0.79,1,59
"Modern,Centrally located House, private Roof Deck",15239706,Beacon Hill,North Beacon Hill,47.58879,-122.31498,Entire home/apt,139,30,2,0.06,1,0
Bright and Cheery Garden Studio in Mt Baker,138381080,Rainier Valley,Mount Baker,47.57674,-122.28777,Entire home/apt,81,2,95,2.81,1,0
Cozy Guesthouse in a lovely Seattle neighborhood!,30073375,Other neighborhoods,Greenwood,47.68465,-122.35331000000001,Entire home/apt,91,1,95,2.79,1,89
"Spacious, Lovely, Sunlit Room with Private Outdoor Balcony",2372441,Ballard,Adams,47.67073,-122.3926,Private room,90,2,281,8.38,1,0
Phinney Suite - Easy Access to Downtown,19075004,Other neighborhoods,Phinney Ridge,47.68053,-122.34899999999999,Entire home/apt,91,30,29,0.86,2,0
Bungalow with Wetland Canopy Views from Patio,336506,Rainier Valley,Dunlap,47.5247,-122.26033000000001,Entire home/apt,285,2,80,2.42,1,294
"Charming, Private 2 Bed Montlake Suite w/ Parking",22027933,Capitol Hill,Montlake,47.63727,-122.30742,Entire home/apt,70,1,316,9.39,1,251
Bungalow Apartment at the Center of the Universe,138819839,Other neighborhoods,Fremont,47.66454,-122.35081000000001,Entire home/apt,117,2,39,1.19,1,159
Aloha Ohana!,138975429,Cascade,Westlake,47.63665,-122.34088999999999,Entire home/apt,200,30,5,0.55,1,0
Top Floor Apt with Private Entrance and View!!,13363989,Other neighborhoods,Wallingford,47.66039,-122.32645,Entire home/apt,65,1,158,5.06,1,160
Exquisite Studio Close to the Space Needle,114733552,Downtown,Belltown,47.61756,-122.34636,Entire home/apt,239,2,166,4.9,2,171
Central District Crafstman Home,11094845,Central Area,Mann,47.60993,-122.30003,Private room,68,30,9,0.27,1,0
A place where it all connect! Homestay 3,111066204,Northgate,North College Park,47.69347,-122.33451000000001,Private room,24,30,2,0.12,7,365
Wholeworld Homestay 2x,111066204,Northgate,North College Park,47.69344,-122.33348000000001,Private room,34,30,1,0.13,7,90
